[JobA-LONGLIU-MAIN] Loaded T_target=4201.09ms from /tmp/ttarget_v5_jobA.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29520...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29520, priority=P3
[JobA-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_epoch=7 (c_i swap), num_iters=300
[JobA-LONGLIU-MAIN] Phase 1 (epoch 0-6): c_i=1.2
[JobA-LONGLIU-MAIN] Phase 2 (epoch 7-14): c_i=3.0
[JobA-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=7.5 GB
[JobA-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobA-LONGLIU-MAIN] iter  10 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=184.0ms, bw=23.34 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  11 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=160.1ms, bw=26.83 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  12 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=200.2ms, bw=21.45 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  13 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=190.2ms, bw=22.58 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  14 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=199.4ms, bw=21.54 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  15 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=211.6ms, bw=20.30 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  16 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=205.0ms, bw=20.95 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  17 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=193.7ms, bw=22.17 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  18 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=192.4ms, bw=22.33 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  19 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=199.2ms, bw=21.57 Gbps [phase1]
[SLO] T_target PRESET (calibrated): 4201.1ms (c_i=1.2, SLO target=5041.3ms) — EMA updates SKIPPED
[SLO] Epoch 1: π=-0.174 (A=4.16s, expected=5.04s, T_target=4201.1ms, k=1), Priority P3 -> P2 (DSCP 16 -> 24)
[MultiComm] Rank 0: switching priority P3 -> P2 (DSCP 16 -> 24)
[JobA-LONGLIU-MAIN] iter  20 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=325.2ms, bw=13.21 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  21 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=176.2ms, bw=24.37 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  22 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=172.0ms, bw=24.97 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  23 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=179.8ms, bw=23.89 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  24 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=163.9ms, bw=26.21 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  25 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=177.8ms, bw=24.15 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  26 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=183.9ms, bw=23.36 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  27 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=178.8ms, bw=24.02 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  28 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=176.2ms, bw=24.38 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  29 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=170.3ms, bw=25.21 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  30 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=170.4ms, bw=25.20 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  31 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=184.8ms, bw=23.25 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  32 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=187.8ms, bw=22.86 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  33 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=174.0ms, bw=24.68 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  34 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=178.7ms, bw=24.03 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  35 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=206.6ms, bw=20.79 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  36 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=192.9ms, bw=22.27 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  37 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=170.0ms, bw=25.27 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  38 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=180.8ms, bw=23.76 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  39 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=183.1ms, bw=23.46 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  40 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=187.2ms, bw=22.94 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  41 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=173.2ms, bw=24.80 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  42 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=189.4ms, bw=22.68 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  43 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=184.4ms, bw=23.29 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  44 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=177.5ms, bw=24.19 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  45 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=188.0ms, bw=22.84 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  46 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=179.1ms, bw=23.98 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  47 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=179.5ms, bw=23.93 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  48 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=185.5ms, bw=23.16 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  49 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=189.1ms, bw=22.71 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  50 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=167.3ms, bw=25.68 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  51 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=185.3ms, bw=23.18 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  52 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=199.8ms, bw=21.50 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  53 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=198.9ms, bw=21.59 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  54 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=285.8ms, bw=15.03 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  55 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=432.6ms, bw=9.93 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  56 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=472.8ms, bw=9.08 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  57 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=466.4ms, bw=9.21 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  58 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=461.7ms, bw=9.30 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  59 (epoch 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=421.0ms, bw=10.20 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  60 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=441.1ms, bw=9.74 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  61 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=446.6ms, bw=9.62 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  62 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=483.1ms, bw=8.89 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  63 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=458.9ms, bw=9.36 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  64 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=263.4ms, bw=16.31 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  65 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=211.3ms, bw=20.33 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  66 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=224.7ms, bw=19.11 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  67 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=223.3ms, bw=19.23 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  68 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=223.4ms, bw=19.23 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  69 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=232.2ms, bw=18.50 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  70 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=224.7ms, bw=19.11 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  71 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=220.1ms, bw=19.51 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  72 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=219.5ms, bw=19.57 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  73 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=232.7ms, bw=18.46 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  74 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=227.7ms, bw=18.86 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  75 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=231.4ms, bw=18.56 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  76 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=206.1ms, bw=20.84 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  77 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=231.6ms, bw=18.55 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  78 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=237.5ms, bw=18.08 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  79 (epoch 3): payload=1024MB, c_i=1.2, sleep=30000us, comm=228.5ms, bw=18.79 Gbps [phase1]
[SLO] Epoch 4: π=-0.080 (A=18.55s, expected=20.17s, T_target=4201.1ms, k=4), Priority P2 -> P4 (DSCP 24 -> 0)
[MultiComm] Rank 0: switching priority P2 -> P4 (DSCP 24 -> 0)
[JobA-LONGLIU-MAIN] iter  80 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=451.8ms, bw=9.51 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  81 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=305.6ms, bw=14.06 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  82 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=319.9ms, bw=13.43 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  83 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=264.2ms, bw=16.26 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  84 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=280.2ms, bw=15.33 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  85 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=235.9ms, bw=18.21 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  86 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=288.3ms, bw=14.90 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  87 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=322.3ms, bw=13.33 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  88 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=246.0ms, bw=17.46 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  89 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=271.1ms, bw=15.84 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  90 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=227.3ms, bw=18.90 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  91 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=335.8ms, bw=12.79 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  92 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=266.1ms, bw=16.14 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  93 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=249.3ms, bw=17.23 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  94 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=258.6ms, bw=16.61 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  95 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=275.0ms, bw=15.62 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  96 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=335.6ms, bw=12.80 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  97 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=258.0ms, bw=16.65 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  98 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=230.2ms, bw=18.66 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  99 (epoch 4): payload=1024MB, c_i=1.2, sleep=30000us, comm=267.2ms, bw=16.07 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 100 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=320.0ms, bw=13.42 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 101 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=276.1ms, bw=15.56 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 102 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=280.8ms, bw=15.29 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 103 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=281.1ms, bw=15.28 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 104 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=335.3ms, bw=12.81 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 105 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=297.6ms, bw=14.43 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 106 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=278.7ms, bw=15.41 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 107 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=236.0ms, bw=18.20 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 108 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=315.2ms, bw=13.63 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 109 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=266.2ms, bw=16.14 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 110 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=236.6ms, bw=18.15 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 111 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=259.9ms, bw=16.52 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 112 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=274.8ms, bw=15.63 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 113 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=262.2ms, bw=16.38 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 114 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=268.0ms, bw=16.03 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 115 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=283.9ms, bw=15.13 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 116 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=293.1ms, bw=14.65 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 117 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=279.0ms, bw=15.40 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 118 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=323.2ms, bw=13.29 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 119 (epoch 5): payload=1024MB, c_i=1.2, sleep=30000us, comm=300.7ms, bw=14.28 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 120 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=311.0ms, bw=13.81 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 121 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=276.6ms, bw=15.53 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 122 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=266.3ms, bw=16.13 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 123 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=280.6ms, bw=15.31 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 124 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=257.8ms, bw=16.66 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 125 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=257.9ms, bw=16.66 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 126 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=284.0ms, bw=15.12 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 127 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=298.1ms, bw=14.41 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 128 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=315.6ms, bw=13.61 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 129 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=277.0ms, bw=15.51 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 130 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=332.8ms, bw=12.91 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 131 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=275.2ms, bw=15.61 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 132 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=267.6ms, bw=16.05 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 133 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=289.1ms, bw=14.86 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 134 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=289.5ms, bw=14.84 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 135 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=262.3ms, bw=16.37 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 136 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=305.7ms, bw=14.05 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 137 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=293.0ms, bw=14.66 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 138 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=257.7ms, bw=16.66 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter 139 (epoch 6): payload=1024MB, c_i=1.2, sleep=30000us, comm=250.3ms, bw=17.16 Gbps [phase1]
[SLO] c_i updated: 1.20 → 3.00
[JobA-LONGLIU-MAIN] *** c_i SWAP at epoch 7: now c_i=3.0 ***
[JobA-LONGLIU-MAIN] iter 140 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=285.4ms, bw=15.05 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 141 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=261.9ms, bw=16.40 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 142 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=311.6ms, bw=13.79 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 143 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=306.4ms, bw=14.02 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 144 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=236.5ms, bw=18.16 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 145 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=279.6ms, bw=15.36 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 146 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=296.4ms, bw=14.49 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 147 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=262.5ms, bw=16.36 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 148 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=268.0ms, bw=16.03 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 149 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=310.5ms, bw=13.83 Gbps [phase2]
[JobA-LONGLIU-MAIN] iter 150 (epoch 7): payload=1024MB, c_i=3.0, sleep=30000us, comm=314.9ms, bw=13.64 Gbps [phase2]
